year;d_conc_min;d_conc_max;d_conc_asc;d_conc_desc;d_disp_min;d_disp_max;d_disp_asc;d_disp_desc;k_conc_min;k_conc_max;k_conc_asc;k_conc_desc;k_disp_min;k_disp_max;k_disp_asc;k_disp_desc;events;target
12.02.2004;0.729692265;0.971393417;1.572068708;1.167498613;1.57424349;0.709553159;0.740966682;0.865542763;;;;;;;;;38;0
13.02.2004;0.729692265;0.971393417;1.572068708;1.167498613;1.637628111;0.687826736;0.713511071;0.885570046;;;;;;;;;38;0
14.02.2004;0.710840033;1.025223008;1.531740105;1.13754853;1.611460259;0.758225508;0.694984184;0.862852335;;;;;;;;;39;0
15.02.2004;0.710840033;1.025223008;1.531740105;1.13754853;1.627707244;0.750732064;0.694984184;0.862852335;;;;;;;;;39;0
16.02.2004;0.767852572;1.026342798;1.493651979;1.09229929;1.553867403;0.840179238;0.722195474;0.744680851;;;;;;;;;40;0
17.02.2004;0.682873532;1.113940165;1.464128843;1.09229929;1.568490763;0.831792976;0.722195474;0.744680851;;;;;;;;;40;0
18.02.2004;0.687947166;1.104449353;1.464128843;1.09229929;1.625042764;0.674114022;0.722195474;0.831946755;;;;;;;;;40;0
19.02.2004;0.693096756;1.094776353;1.464128843;1.09229929;1.625042764;0.674114022;0.722195474;0.831946755;;;;;;;;;40;0
20.02.2004;0.756741882;0.980392157;1.435750179;1.176163095;1.625042764;0.674114022;0.722195474;0.831946755;;;;;;;;;40;0
21.02.2004;0.762406432;0.971817298;1.435750179;1.176163095;1.704341586;0.653472741;0.703894885;0.831946755;;;;;;;;;40;0
22.02.2004;0.768371053;0.963081862;1.435750179;1.176163095;1.687988628;0.653472741;0.703894885;0.841396719;;;;;;;;;40;0
23.02.2004;0.721846847;0.97931254;1.472361809;1.206481965;1.655902404;0.663585952;0.721726889;0.862852335;;;;;;;;;39;0
24.02.2004;0.727375887;0.97096876;1.472361809;1.206481965;1.672101449;0.657027818;0.721726889;0.862852335;;;;;;;;;39;0
25.02.2004;0.716401229;0.97096876;1.472361809;1.24219591;1.689238653;0.650362319;0.721726889;0.862852335;;;;;;;;;39;0
26.02.2004;0.721846847;0.962464811;1.472361809;1.24219591;1.706099815;0.644061715;0.721726889;0.862852335;;;;;;;;;39;0
27.02.2004;0.727375887;0.954404467;1.472361809;1.24219591;1.64490566;0.708218232;0.740491093;0.862852335;;;;;;;;;39;0
28.02.2004;0.751160885;0.989119683;1.464128843;1.159793814;1.721014493;0.640556369;0.722195474;0.822368421;;;;;;;;;40;0
29.02.2004;0.749114683;0.99535501;1.459854015;1.156812339;1.716660643;0.645280236;0.720461095;0.820344545;;;;;;;;;40;0
01.03.2004;0.749114683;0.986517593;1.459854015;1.173096976;1.699463327;0.651769088;0.720461095;0.820344545;;;;;;;;;40;0
02.03.2004;0.631667602;1.130490956;1.403508772;1.173096976;1.605272051;0.66539924;0.720461095;0.858737656;;;;;;;;;40;0
03.03.2004;0.616226839;1.181847545;1.369122807;1.144421272;1.648529909;0.64904943;0.702689721;0.837698583;;;;;;;;;41;0
04.03.2004;0.616226839;1.181847545;1.369122807;1.144421272;1.469170801;0.71939528;0.912962096;0.837698583;;;;;;;;;41;0
05.03.2004;0.616226839;1.181847545;1.369122807;1.144421272;1.483363148;0.712043796;0.912962096;0.837698583;;;;;;;;;41;0
06.03.2004;0.602360044;1.154106117;1.369122807;1.236188545;1.49837369;0.705095772;0.912962096;0.837698583;;;;;;;;;41;0
07.03.2004;0.597929719;1.16473397;1.369122807;1.236188545;1.559819413;0.665416098;0.937079731;0.837698583;;;;;;;;;41;0
08.03.2004;0.589103596;1.175964187;1.369122807;1.253984576;1.559819413;0.665416098;0.937079731;0.837698583;;;;;;;;;41;0
09.03.2004;0.639023081;1.147727273;1.336842105;1.224164524;1.539163498;0.717682518;0.914985591;0.827900913;;;;;;;;;42;0
10.03.2004;0.639023081;1.147727273;1.336842105;1.224164524;1.539163498;0.717682518;0.914985591;0.827900913;;;;;;;;;42;0
11.03.2004;0.639023081;1.147727273;1.336842105;1.224164524;1.539163498;0.717682518;0.914985591;0.827900913;;;;;;;;;42;0
12.03.2004;0.601628299;1.174284775;1.311983471;1.224164524;1.539163498;0.717682518;0.914985591;0.827900913;;;;;;;;;42;0
13.03.2004;0.597102257;1.174284775;1.311983471;1.241397289;1.548970004;0.695255474;0.914985591;0.790128577;;;;;;;;;42;0
14.03.2004;0.63830955;1.189631651;1.280991736;1.178915357;1.581037567;0.685840708;0.893371758;0.771464123;;;;;;;;;43;1
15.03.2004;0.63830955;1.189631651;1.280991736;1.178915357;1.565910702;0.69273743;0.893371758;0.771464123;;;;;;;;;43;1
16.03.2004;0.592246746;1.234571997;1.257606491;1.178915357;1.527737226;0.771755162;0.870379036;0.771464123;;;;;;;;;43;1
17.03.2004;0.596806387;1.223610654;1.257606491;1.178915357;1.543510324;0.763868613;0.870379036;0.771464123;;;;;;;;;43;1
18.03.2004;0.601609658;1.212842243;1.257606491;1.178915357;1.574868322;0.720730028;0.917612235;0.771464123;;;;;;;;;43;1
19.03.2004;0.60631518;1.180894954;1.305263158;1.178915357;1.574868322;0.720730028;0.917612235;0.771464123;;;;;;;;;43;1
20.03.2004;0.60631518;1.180894954;1.305263158;1.178915357;1.574868322;0.720730028;0.917612235;0.771464123;;;;;;;;;43;1
21.03.2004;0.616131881;1.170862177;1.305263158;1.163;1.574868322;0.720730028;0.917612235;0.771464123;;;;;;;;;43;1
22.03.2004;0.616131881;1.170862177;1.305263158;1.163;1.591634981;0.707333559;0.917612235;0.780201342;;;;;;;;;43;1
23.03.2004;0.626271694;1.122473605;1.305263158;1.212721585;1.574868322;0.713847203;0.917612235;0.780201342;;;;;;;;;43;1
24.03.2004;0.621068249;1.16099844;1.280991736;1.178915357;1.574868322;0.713847203;0.917612235;0.780201342;;;;;;;;;43;1
25.03.2004;0.621068249;1.16099844;1.280991736;1.178915357;1.574868322;0.713847203;0.917612235;0.780201342;;;;;;;;;43;1
26.03.2004;0.636557178;1.150943396;1.280991736;1.147508633;1.574868322;0.713847203;0.917612235;0.780201342;;;;;;;;;43;1
27.03.2004;0.616131881;1.223610654;1.280991736;1.102369668;1.559031657;0.727493917;0.905109489;0.780201342;;;;;;;;;43;1
28.03.2004;0.611094891;1.234571997;1.280991736;1.102369668;1.527737226;0.727493917;0.905109489;0.79862602;;;;;;;;;43;1
29.03.2004;0.60631518;1.246148694;1.280991736;1.102369668;1.441460055;0.787434161;0.905109489;0.780201342;;;;;;;;;43;1
30.03.2004;0.626271694;1.223610654;1.234240212;1.102369668;1.527737226;0.75641489;0.881516588;0.780201342;;;;;;;;;43;1
31.03.2004;0.611094891;1.234571997;1.234240212;1.131873479;1.559031657;0.720730028;0.917612235;0.780201342;;;;;;;;;43;1
01.04.2004;0.616131881;1.223610654;1.234240212;1.131873479;1.559031657;0.720730028;0.917612235;0.780201342;;;;;;;;;43;1
02.04.2004;0.621068249;1.212842243;1.234240212;1.131873479;1.559031657;0.720730028;0.917612235;0.780201342;;;;;;;;;43;1
03.04.2004;0.587591241;1.269099591;1.280991736;1.131873479;1.559031657;0.720730028;0.917612235;0.780201342;;;;;;;;;43;1
04.04.2004;0.587591241;1.269099591;1.280991736;1.131873479;1.483345145;0.741672573;0.93;0.789473684;;;;;;;;;43;1
05.04.2004;0.60631518;1.257519432;1.212516297;1.131873479;1.497674419;0.734643735;0.93;0.789473684;;;;;;;;;43;1
06.04.2004;0.587591241;1.269099591;1.280991736;1.131873479;1.51282978;0.727493917;0.93;0.789473684;;;;;;;;;43;1
07.04.2004;0.60631518;1.223610654;1.280991736;1.131873479;1.414667117;0.79581749;0.93;0.771464123;;;;;;;;;43;1
08.04.2004;0.601609658;1.234571997;1.280991736;1.131873479;1.527737226;0.741672573;0.917612235;0.771464123;;;;;;;;;43;1
09.04.2004;0.601609658;1.234571997;1.280991736;1.131873479;1.527737226;0.741672573;0.917612235;0.771464123;;;;;;;;;43;1
10.04.2004;0.611909037;1.248062016;1.206370272;1.106082725;1.493065693;0.805457123;0.896891959;0.754043965;;;;;;;;;44;1
11.04.2004;0.616892911;1.215859031;1.206370272;1.1365;1.493065693;0.805457123;0.896891959;0.754043965;;;;;;;;;44;1
12.04.2004;0.616892911;1.215859031;1.206370272;1.1365;1.530120482;0.761638734;0.896891959;0.737226277;;;;;;;;;44;1
13.04.2004;0.621958637;1.254907975;1.206370272;1.051413882;1.47271487;0.77756654;0.896891959;0.754043965;;;;;;;;;44;1
14.04.2004;0.621958637;1.254907975;1.206370272;1.051413882;1.47271487;0.77756654;0.896891959;0.754043965;;;;;;;;;44;1
15.04.2004;0.616892911;1.205616225;1.333116037;1.051413882;1.47271487;0.77756654;0.896891959;0.754043965;;;;;;;;;44;1
16.04.2004;0.60331825;1.248049922;1.303780965;1.028277635;1.544664581;0.810948905;0.788646731;0.737453339;;;;;;;;;45;1
17.04.2004;0.60331825;1.248049922;1.303780965;1.028277635;1.540875912;0.866052445;0.767636902;0.737453339;;;;;;;;;45;1
18.04.2004;0.60331825;1.248049922;1.303780965;1.028277635;1.540875912;0.866052445;0.767636902;0.737453339;;;;;;;;;45;1
19.04.2004;0.616892911;1.205616225;1.333116037;1.051413882;1.575912409;0.805457123;0.784903799;0.754043965;;;;;;;;;44;1
20.04.2004;0.611909037;1.215859031;1.333116037;1.051413882;1.592182891;0.782713499;0.784903799;0.771646859;;;;;;;;;44;1
21.04.2004;0.654106565;1.231421121;1.303780965;1;1.556784661;0.841597796;0.767636902;0.75466893;;;;;;;;;45;1
22.04.2004;0.648759124;1.105839416;1.564660691;1;1.510554562;0.849496003;0.788646731;0.75466893;;;;;;;;;45;1
23.04.2004;0.74540146;1.058725946;1.498079385;0.9575;1.446511628;0.961418144;0.754688292;0.722410866;;;;;;;;;47;1
24.04.2004;0.74540146;1.058725946;1.498079385;0.9575;1.446511628;0.961418144;0.754688292;0.722410866;;;;;;;;;47;1
25.04.2004;0.582420925;1.168281654;1.579826733;0.9575;1.446511628;0.961418144;0.754688292;0.722410866;;;;;;;;;47;1
26.04.2004;0.587423313;1.158181236;1.579826733;0.9575;1.419094419;0.931751825;0.839664529;0.713926174;;;;;;;;;47;1
27.04.2004;0.573166927;1.325703681;1.306658131;0.9185;1.418839068;1.04270073;0.7145;0.684983221;;;;;;;;;49;1
28.04.2004;0.573166927;1.325703681;1.306658131;0.9185;1.432783433;1.032526202;0.7145;0.684983221;;;;;;;;;49;1
29.04.2004;0.585023401;1.288895762;1.333546735;0.9375;1.402551382;1.043649374;0.729;0.699244966;;;;;;;;;48;1
30.04.2004;0.705882353;1.178943937;1.362355954;0.931873479;1.370304114;1.055634302;0.7445;0.713926174;;;;;;;;;47;1
01.05.2004;0.74540146;1.200066357;1.362355954;0.851;1.384170582;1.045630046;0.7445;0.713926174;;;;;;;;;47;1
02.05.2004;0.74540146;1.200066357;1.362355954;0.851;1.333702065;1.078404867;0.765552699;0.713926174;;;;;;;;;47;1
03.05.2004;0.727972626;1.211319491;1.412076974;0.851;1.331247828;0.941371681;0.765552699;0.862935929;;;;;;;;;47;1
04.05.2004;0.727972626;1.211319491;1.412076974;0.851;1.318870523;0.950837989;0.765552699;0.862935929;;;;;;;;;47;1
05.05.2004;0.705882353;1.215487147;1.387222947;0.851;1.257212374;1.019911504;0.7445;0.882621319;;;;;;;;;47;1
06.05.2004;0.711678832;1.205160478;1.387222947;0.851;1.233628922;0.970722433;0.7445;0.959803117;;;;;;;;;47;1
07.05.2004;0.717791411;1.1950078;1.387222947;0.851;1.233628922;0.970722433;0.7445;0.959803117;;;;;;;;;47;1
08.05.2004;0.692259283;1.266968326;1.327140013;0.8;1.36425648;0.912547529;0.7;0.902378999;;;;;;;;;50;1
09.05.2004;0.67872876;1.301357466;1.301260783;0.7845;1.404502046;0.894676806;0.6865;0.884741591;;;;;;;;;51;1
10.05.2004;0.667182184;1.295783512;1.35745752;0.7845;1.404502046;0.894676806;0.6865;0.884741591;;;;;;;;;51;1
11.05.2004;0.667182184;1.295783512;1.35745752;0.7845;1.404502046;0.876350093;0.705912596;0.884741591;;;;;;;;;51;1
12.05.2004;0.667182184;1.295783512;1.35745752;0.7845;1.391686381;0.885252069;0.705912596;0.884741591;;;;;;;;;51;1
13.05.2004;0.721779141;1.295783512;1.255441741;0.7845;1.379102478;0.894676806;0.705912596;0.884741591;;;;;;;;;51;1
14.05.2004;0.715632603;1.346021841;1.255441741;0.705912596;1.262611807;1.111622962;0.6865;0.822567114;;;;;;;;;51;1
15.05.2004;0.76892911;1.295783512;1.255441741;0.705912596;1.275388507;1.101088101;0.6865;0.822567114;;;;;;;;;51;1
16.05.2004;0.7239819;1.310452418;1.303780965;0.719794344;1.253687316;0.842400842;0.7;1.148482363;;;;;;;;;50;1
17.05.2004;0.7239819;1.098191214;1.258653241;1.1;1.253687316;0.842400842;0.7;1.148482363;;;;;;;;;50;1
18.05.2004;0.701946472;1.191003911;1.169708029;1.0575;1.205383481;0.944892945;0.673;1.104183757;;;;;;;;;52;1
19.05.2004;0.805505685;1.104765123;1.169708029;1.02919708;1.205383481;0.944892945;0.673;1.104183757;;;;;;;;;52;1
20.05.2004;0.812066365;1.055878553;1.253585398;1.02919708;1.158398299;0.963148479;0.673;1.129194631;;;;;;;;;52;1
21.05.2004;0.805505685;1.065514993;1.253585398;1.02919708;1.169588551;0.953933381;0.673;1.129194631;;;;;;;;;52;1
22.05.2004;0.798813056;1.074975337;1.253585398;1.02919708;1.158398299;0.851032448;0.842335766;1.11654915;;;;;;;;;52;1
23.05.2004;0.792463939;1.084605176;1.253585398;1.02919708;1.169588551;0.842335766;0.842335766;1.11654915;;;;;;;;;52;1
