Date;Class;lat;long
05.09.1953;11.200;41.100;47.400
10.09.1953;9.580;41.100;47.400
16.09.1953;12.640;41.200;47.400
17.09.1953;9.580;41.100;47.100
18.10.1953;11.740;42.500;47.700
11.11.1953;11.200;42.700;45.900
14.11.1953;10.840;43.000;46.000
17.11.1953;12.100;43.100;45.900
21.03.1954;12.640;42.300;45.900
15.04.1954;11.920;43.000;46.400
21.04.1954;12.820;42.800;45.800
22.08.1954;12.280;42.700;48.200
14.09.1954;11.740;43.100;46.400
15.10.1954;11.740;43.100;46.300
17.12.1954;12.280;41.100;46.900
06.01.1955;11.740;42.900;47.800
05.08.1955;12.640;43.000;47.200
23.08.1955;12.280;43.200;46.100
25.08.1955;11.920;43.300;46.200
31.08.1955;11.920;43.100;46.200
19.09.1955;12.280;41.300;47.600
25.09.1955;12.640;43.100;46.100
22.12.1955;11.740;42.300;48.900
10.01.1956;11.200;42.500;48.300
22.01.1956;12.100;41.300;45.500
27.08.1956;12.280;42.900;47.100
11.12.1956;11.200;42.900;47.600
08.04.1957;10.840;43.300;46.000
05.06.1957;11.560;41.800;47.900
24.06.1957;11.200;43.100;46.000
21.09.1957;11.200;42.800;47.800
06.05.1958;13.900;43.140;47.770
11.05.1958;11.380;43.300;47.800
23.05.1958;11.920;42.300;46.500
23.10.1958;10.300;41.200;47.100
26.11.1958;12.280;41.600;45.900
16.01.1960;11.200;41.500;48.600
08.03.1960;11.920;42.900;47.900
21.03.1960;12.280;42.900;47.800
23.03.1960;11.560;42.500;45.400
04.06.1960;11.740;42.700;47.000
27.08.1960;11.200;42.600;46.200
15.10.1960;10.840;42.900;47.700
31.10.1960;10.300;43.200;45.300
12.02.1961;10.840;43.000;47.500
15.02.1961;9.580;42.500;45.400
26.02.1961;10.300;41.800;45.900
29.03.1961;11.380;42.300;45.900
04.07.1961;11.560;42.000;45.800
08.07.1961;12.100;41.100;46.700
13.02.1962;8.000;42.700;46.800
15.02.1962;9.500;42.800;45.700
27.02.1962;8.000;41.900;46.100
11.03.1962;10.000;42.100;46.400
13.03.1962;10.000;42.400;47.200
14.04.1962;9.000;42.800;47.600
14.04.1962;10.000;43.000;45.800
25.04.1962;9.000;42.700;46.000
28.04.1962;9.000;41.700;46.400
28.04.1962;8.000;41.400;47.600
29.04.1962;5.500;41.300;45.900
06.05.1962;8.000;42.800;46.400
14.05.1962;11.000;41.800;46.200
14.05.1962;8.900;41.800;46.020
14.05.1962;10.000;41.800;46.300
16.05.1962;9.000;41.800;46.200
19.05.1962;9.000;41.100;45.900
01.06.1962;9.500;41.800;46.000
04.06.1962;9.000;42.700;47.600
07.06.1962;10.000;41.000;47.800
07.06.1962;10.480;43.100;45.400
26.06.1962;10.000;43.100;47.700
17.07.1962;9.000;42.400;45.800
31.07.1962;9.500;41.400;47.200
03.08.1962;10.000;41.900;48.000
15.08.1962;9.000;41.300;47.300
15.08.1962;9.000;41.100;47.500
23.08.1962;11.560;42.100;45.900
30.08.1962;11.200;43.300;46.600
05.09.1962;11.020;42.700;46.300
13.09.1962;8.000;41.500;46.000
17.09.1962;8.000;42.100;45.900
17.09.1962;9.000;42.100;45.900
18.09.1962;9.000;42.600;45.400
20.09.1962;8.000;43.000;47.700
24.09.1962;8.000;42.000;45.800
04.10.1962;8.600;41.100;45.500
05.10.1962;9.000;42.400;46.300
07.10.1962;9.000;41.900;45.800
12.10.1962;11.000;41.000;45.900
12.10.1962;8.000;41.000;45.800
12.10.1962;9.000;41.100;45.900
19.10.1962;11.020;42.100;47.700
02.11.1962;9.000;42.500;45.900
10.11.1962;10.000;41.700;46.000
08.12.1962;8.000;42.200;45.500
14.12.1962;11.000;42.800;46.000
16.12.1962;10.000;41.700;46.500
27.12.1962;8.000;41.100;45.700
11.01.1963;9.500;43.300;45.700
16.01.1963;8.000;43.100;45.600
24.01.1963;10.000;42.600;46.000
27.01.1963;10.000;41.600;47.400
20.03.1963;9.000;42.400;45.500
23.03.1963;9.000;41.400;47.100
27.03.1963;8.000;41.700;45.500
29.03.1963;8.000;41.600;45.900
30.03.1963;9.000;41.900;46.400
16.04.1963;11.000;43.000;48.400
19.04.1963;9.000;41.400;46.300
21.04.1963;10.000;42.900;46.600
23.04.1963;11.000;41.100;47.300
23.04.1963;10.000;41.200;47.300
23.04.1963;10.000;41.300;47.400
10.05.1963;11.000;41.700;48.600
13.05.1963;9.000;43.300;46.200
26.05.1963;11.000;42.000;48.300
27.05.1963;9.000;41.800;47.800
27.06.1963;9.000;41.800;47.800
07.07.1963;8.000;43.200;46.300
12.07.1963;8.000;42.300;46.700
26.07.1963;8.000;41.700;46.200
26.07.1963;10.000;41.100;45.900
27.07.1963;10.120;42.400;46.300
28.07.1963;10.480;43.200;47.400
22.08.1963;10.000;41.100;47.900
23.08.1963;9.000;43.000;46.000
02.09.1963;11.200;42.400;47.900
20.09.1963;8.000;41.200;45.500
21.09.1963;9.000;41.300;45.600
05.10.1963;8.000;42.100;45.900
24.10.1963;10.000;41.800;46.300
29.10.1963;8.000;42.100;45.800
17.11.1963;10.000;41.100;45.700
03.12.1963;8.000;41.800;46.200
03.12.1963;9.000;42.200;47.800
11.01.1964;10.000;41.300;48.000
13.02.1964;9.000;43.600;46.000
23.02.1964;10.000;43.600;46.000
25.02.1964;8.000;41.700;46.000
04.03.1964;11.740;43.440;45.930
10.03.1964;10.000;41.700;46.700
11.03.1964;10.000;41.700;45.700
15.03.1964;9.000;42.100;45.900
29.03.1964;9.000;41.000;46.400
01.04.1964;8.000;42.000;45.800
09.04.1964;9.000;42.300;46.700
01.05.1964;11.000;43.600;46.000
06.05.1964;9.000;43.300;46.400
15.05.1964;8.000;42.300;45.600
17.05.1964;9.000;42.200;45.500
24.05.1964;10.000;42.100;45.900
27.05.1964;9.000;42.300;45.800
31.05.1964;10.000;42.500;46.500
31.05.1964;8.000;41.700;45.600
05.06.1964;11.920;43.100;45.400
13.06.1964;12.000;43.000;45.500
21.06.1964;8.500;41.000;46.500
29.06.1964;10.000;42.600;46.200
19.07.1964;8.000;42.800;45.700
20.07.1964;9.000;43.700;46.100
03.08.1964;10.000;42.100;48.000
05.09.1964;10.000;42.200;45.900
06.09.1964;9.000;42.200;47.900
14.09.1964;10.000;42.200;46.100
04.10.1964;11.000;41.200;45.800
11.10.1964;8.000;41.100;46.300
13.10.1964;8.000;41.800;47.500
14.10.1964;8.000;41.100;46.300
05.12.1964;9.000;42.200;47.300
07.12.1964;10.000;42.000;46.500
16.12.1964;10.000;41.200;46.500
20.12.1964;9.000;42.500;45.900
17.01.1965;12.000;43.000;47.200
03.02.1965;9.000;42.200;45.800
05.02.1965;9.000;41.000;45.800
07.02.1965;9.000;43.500;46.000
08.02.1965;11.000;41.200;47.800
28.02.1965;11.000;42.000;45.700
02.03.1965;9.000;41.300;46.900
09.03.1965;10.000;43.100;46.300
17.03.1965;8.000;41.800;46.500
19.03.1965;9.000;42.600;47.600
22.03.1965;9.000;42.800;46.000
24.03.1965;8.000;41.800;46.100
24.03.1965;10.000;41.300;47.800
28.03.1965;10.000;42.300;47.500
03.04.1965;11.020;42.300;45.200
09.04.1965;9.000;41.800;46.500
27.05.1965;9.000;42.000;45.700
07.06.1965;9.000;42.300;46.000
19.06.1965;10.660;42.870;46.480
21.06.1965;10.000;42.100;46.400
22.06.1965;11.000;42.800;46.000
11.07.1965;9.000;42.100;46.000
12.07.1965;8.000;42.600;45.700
16.07.1965;9.000;42.900;47.200
17.07.1965;9.000;43.200;47.200
22.07.1965;8.000;41.600;46.600
01.08.1965;9.000;41.600;46.300
04.08.1965;9.000;42.200;46.400
21.08.1965;10.000;42.100;48.300
08.09.1965;10.000;41.400;46.100
11.09.1965;9.000;42.400;46.000
11.09.1965;11.000;41.000;47.200
12.09.1965;9.000;42.400;46.000
13.09.1965;8.000;42.300;46.000
16.09.1965;10.000;41.600;46.400
18.09.1965;9.000;41.500;46.500
19.09.1965;9.000;41.800;46.000
21.09.1965;10.000;41.600;46.600
06.10.1965;9.000;42.700;46.300
06.10.1965;11.920;42.700;46.300
11.10.1965;9.000;42.600;46.300
11.10.1965;10.000;42.200;45.500
28.10.1965;10.000;41.900;46.100
31.10.1965;10.000;42.300;46.300
15.11.1965;8.000;41.800;45.800
16.11.1965;9.000;42.600;46.000
06.12.1965;10.660;42.800;47.800
15.12.1965;11.200;42.600;46.100
21.12.1965;8.000;42.300;45.600
25.12.1965;10.000;43.500;46.900
25.12.1965;9.000;42.000;45.600
07.01.1966;8.000;42.700;45.700
07.01.1966;8.000;42.700;45.700
19.01.1966;9.000;41.700;46.000
25.01.1966;10.000;41.700;46.300
28.01.1966;9.000;42.100;45.900
01.02.1966;10.840;42.900;45.700
01.02.1966;9.000;41.300;46.000
05.02.1966;8.000;42.000;46.000
11.02.1966;9.000;43.400;46.200
13.02.1966;8.000;42.600;45.800
17.02.1966;9.000;41.100;46.200
22.02.1966;9.000;41.000;46.800
25.02.1966;9.000;41.900;46.100
28.02.1966;9.000;42.800;46.000
02.03.1966;9.000;42.500;45.600
02.03.1966;12.820;43.030;45.710
02.03.1966;8.000;42.800;45.700
02.03.1966;10.480;42.800;45.600
02.03.1966;11.000;42.800;45.600
02.03.1966;9.000;42.800;45.600
02.03.1966;9.000;42.700;45.700
02.03.1966;10.000;42.700;45.600
02.03.1966;8.000;42.500;45.500
02.03.1966;8.000;42.800;45.600
02.03.1966;8.000;42.800;45.500
02.03.1966;10.000;43.000;45.500
02.03.1966;9.000;42.700;45.700
02.03.1966;11.000;42.900;45.600
02.03.1966;10.480;42.900;45.700
02.03.1966;10.000;42.800;45.600
02.03.1966;9.000;42.900;46.600
04.03.1966;10.480;42.900;45.600
04.03.1966;12.000;42.900;45.600
04.03.1966;8.000;42.900;46.600
04.03.1966;10.480;42.900;45.600
05.03.1966;8.000;42.900;45.500
07.03.1966;8.000;41.800;46.800
07.03.1966;9.000;42.300;45.700
07.03.1966;8.000;42.800;45.600
07.03.1966;11.740;42.800;45.600
07.03.1966;8.000;42.800;45.600
09.03.1966;10.000;42.900;45.600
09.03.1966;10.480;42.900;45.600
10.03.1966;10.000;42.900;45.600
11.03.1966;10.480;42.500;45.600
13.03.1966;10.000;42.800;45.500
25.03.1966;9.000;43.100;46.200
01.04.1966;9.000;41.900;46.300
01.04.1966;9.000;41.900;46.300
03.04.1966;9.000;42.600;46.100
06.04.1966;9.000;41.600;47.700
07.04.1966;9.000;43.000;45.600
15.04.1966;10.000;42.800;45.700
19.04.1966;11.380;43.030;45.730
20.04.1966;14.000;41.790;48.150
21.04.1966;9.000;42.800;45.600
21.04.1966;9.000;41.700;48.400
22.04.1966;8.000;42.800;45.600
25.04.1966;10.000;41.700;47.900
29.04.1966;9.000;41.800;47.900
30.04.1966;9.000;41.800;47.900
30.04.1966;12.000;41.700;48.300
05.05.1966;8.000;42.900;45.500
05.05.1966;9.000;41.600;48.100
06.05.1966;9.000;41.700;47.400
10.05.1966;8.000;43.000;45.500
18.05.1966;10.000;42.800;45.500
19.05.1966;10.000;41.800;48.500
29.05.1966;10.000;42.500;45.800
03.06.1966;9.000;41.300;46.400
07.06.1966;9.000;41.400;46.400
07.06.1966;9.000;41.400;46.400
19.06.1966;9.000;41.050;48.100
20.06.1966;10.000;42.800;45.700
29.06.1966;9.000;43.100;46.100
09.07.1966;9.000;42.000;45.700
13.07.1966;9.000;42.100;45.500
17.07.1966;11.000;42.700;48.200
31.07.1966;11.200;42.600;46.300
04.08.1966;7.000;41.800;46.100
09.08.1966;9.000;42.200;45.500
09.08.1966;9.000;43.000;45.700
10.09.1966;8.000;42.100;47.500
12.09.1966;8.000;41.400;45.700
07.10.1966;9.000;41.800;48.100
09.10.1966;10.000;42.800;45.600
14.10.1966;10.000;41.070;48.100
30.10.1966;11.740;42.800;45.900
09.11.1966;10.000;41.500;48.800
15.11.1966;8.000;42.700;47.000
16.11.1966;9.000;42.900;47.900
05.12.1966;7.000;41.300;46.000
25.12.1966;9.000;41.000;45.900
29.12.1966;9.000;41.900;45.700
02.01.1967;9.000;42.600;48.000
09.01.1967;10.600;42.720;46.200
27.01.1967;10.000;42.300;46.200
01.02.1967;8.500;41.600;45.900
02.02.1967;9.000;42.000;46.300
10.02.1967;8.300;42.330;45.930
12.02.1967;7.500;41.250;45.970
06.03.1967;8.300;42.820;46.370
18.03.1967;11.300;41.700;46.300
24.03.1967;9.000;42.500;46.400
30.03.1967;10.000;42.100;46.500
04.04.1967;8.700;41.000;46.400
27.04.1967;8.100;42.000;45.900
03.05.1967;9.000;43.100;46.300
